C1,V1,C2,V2,C3,V3
170,COLOMBIA,20,CESAR,32,ASTREA
170,COLOMBIA,20,CESAR,1,VALLEDUPAR
170,COLOMBIA,20,CESAR,60,BOSCONIA
170,COLOMBIA,20,CESAR,621,LA PAZ
170,COLOMBIA,20,CESAR,570,PUEBLO BELLO
170,COLOMBIA,20,CESAR,13,AGUSTÍN CODAZZI
170,COLOMBIA,44,LA GUAJIRA,874,VILLANUEVA
170,COLOMBIA,20,CESAR,443,MANAURE BALCÓN DEL CESAR
170,COLOMBIA,20,CESAR,750,SAN DIEGO
170,COLOMBIA,20,CESAR,228,CURUMANÍ
170,COLOMBIA,44,LA GUAJIRA,650,SAN JUAN DEL CESAR
862,VENEZUELA,20,CESAR,45,BECERRIL
862,VENEZUELA,20,CESAR,1,VALLEDUPAR
170,COLOMBIA,44,LA GUAJIRA,855,URUMITA
170,COLOMBIA,20,CESAR,250,EL PASO
170,COLOMBIA,20,CESAR,770,SAN MARTÍN
170,COLOMBIA,20,CESAR,400,LA JAGUA DE IBIRICO
170,COLOMBIA,20,CESAR,175,CHIMICHAGUA
532,ANTILLAS HOLANDESAS,20,CESAR,1,VALLEDUPAR
170,COLOMBIA,20,CESAR,517,PAILITAS
170,COLOMBIA,44,LA GUAJIRA,420,LA JAGUA DEL PILAR
170,COLOMBIA,44,LA GUAJIRA,430,MAICAO
170,COLOMBIA,54,NORTE DE SANTANDER,498,OCAÑA
170,COLOMBIA,20,CESAR,45,BECERRIL
170,COLOMBIA,47,MAGDALENA,170,CHIBOLO
170,COLOMBIA,8,ATLÁNTICO,1,BARRANQUILLA
170,COLOMBIA,47,MAGDALENA,1,SANTA MARTA
170,COLOMBIA,11,"BOGOTÁ, D.C.",1,"BOGOTÁ, D.C."
170,COLOMBIA,54,NORTE DE SANTANDER,245,EL CARMEN
170,COLOMBIA,17,CALDAS,1,MANIZALES
170,COLOMBIA,47,MAGDALENA,545,PIJIÑO DEL CARMEN
170,COLOMBIA,20,CESAR,310,GONZÁLEZ
170,COLOMBIA,47,MAGDALENA,58,ARIGUANÍ
170,COLOMBIA,25,CUNDINAMARCA,817,TOCANCIPÁ
170,COLOMBIA,47,MAGDALENA,245,EL BANCO
170,COLOMBIA,13,BOLÍVAR,836,TURBACO
170,COLOMBIA,20,CESAR,178,CHIRIGUANÁ
170,COLOMBIA,20,CESAR,11,AGUACHICA
170,COLOMBIA,20,CESAR,787,TAMALAMEQUE
170,COLOMBIA,5,ANTIOQUIA,1,MEDELLÍN
170,COLOMBIA,76,VALLE DEL CAUCA,1,CALI
170,COLOMBIA,68,SANTANDER,1,BUCARAMANGA
170,COLOMBIA,20,CESAR,238,EL COPEY
170,COLOMBIA,25,CUNDINAMARCA,175,CHÍA
170,COLOMBIA,50,META,1,VILLAVICENCIO
170,COLOMBIA,68,SANTANDER,276,FLORIDABLANCA
170,COLOMBIA,15,BOYACÁ,1,TUNJA
170,COLOMBIA,15,BOYACÁ,759,SOGAMOSO
170,COLOMBIA,47,MAGDALENA,692,SAN SEBASTIÁN DE BUENAVISTA
170,COLOMBIA,68,SANTANDER,679,SAN GIL
170,COLOMBIA,47,MAGDALENA,288,FUNDACIÓN
170,COLOMBIA,44,LA GUAJIRA,110,EL MOLINO
170,COLOMBIA,44,LA GUAJIRA,78,BARRANCAS
170,COLOMBIA,47,MAGDALENA,555,PLATO
862,VENEZUELA,2,DPTO EXTRANJERO,999,CIUDAD EXTRANJERO
170,COLOMBIA,13,BOLÍVAR,1,CARTAGENA DE INDIAS
170,COLOMBIA,44,LA GUAJIRA,1,RIOHACHA
170,COLOMBIA,70,SUCRE,1,SINCELEJO
170,COLOMBIA,23,CÓRDOBA,1,MONTERÍA
170,COLOMBIA,13,BOLÍVAR,188,CICUCO
170,COLOMBIA,13,BOLÍVAR,549,PINILLOS
170,COLOMBIA,44,LA GUAJIRA,279,FONSECA
170,COLOMBIA,5,ANTIOQUIA,88,BELLO
170,COLOMBIA,13,BOLÍVAR,670,SAN PABLO
170,COLOMBIA,23,CÓRDOBA,660,SAHAGÚN
170,COLOMBIA,54,NORTE DE SANTANDER,3,ÁBREGO
170,COLOMBIA,17,CALDAS,380,LA DORADA
170,COLOMBIA,47,MAGDALENA,189,CIÉNAGA
532,ANTILLAS HOLANDESAS,2,DPTO EXTRANJERO,999,CIUDAD EXTRANJERO
170,COLOMBIA,23,CÓRDOBA,79,BUENAVISTA
170,COLOMBIA,13,BOLÍVAR,600,RÍO VIEJO
170,COLOMBIA,52,NARIÑO,1,PASTO
170,COLOMBIA,47,MAGDALENA,570,PUEBLOVIEJO
170,COLOMBIA,47,MAGDALENA,268,EL RETÉN
170,COLOMBIA,5,ANTIOQUIA,31,AMALFI
170,COLOMBIA,44,LA GUAJIRA,560,MANAURE
170,COLOMBIA,13,BOLÍVAR,74,BARRANCO DE LOBA
170,COLOMBIA,44,LA GUAJIRA,378,HATONUEVO
170,COLOMBIA,19,CAUCA,1,POPAYÁN
170,COLOMBIA,54,NORTE DE SANTANDER,1,SAN JOSÉ DE CÚCUTA
170,COLOMBIA,13,BOLÍVAR,894,ZAMBRANO
170,COLOMBIA,44,LA GUAJIRA,847,URIBIA
170,COLOMBIA,13,BOLÍVAR,244,EL CARMEN DE BOLÍVAR
170,COLOMBIA,23,CÓRDOBA,466,MONTELÍBANO
170,COLOMBIA,13,BOLÍVAR,468,SANTA CRUZ DE MOMPOX
170,COLOMBIA,13,BOLÍVAR,688,SANTA ROSA DEL SUR
170,COLOMBIA,47,MAGDALENA,551,PIVIJAY
170,COLOMBIA,8,ATLÁNTICO,638,SABANALARGA
999,DESCONOCIDA,2,DPTO EXTRANJERO,999,CIUDAD EXTRANJERO
170,COLOMBIA,70,SUCRE,713,SAN ONOFRE
170,COLOMBIA,5,ANTIOQUIA,197,COCORNÁ
170,COLOMBIA,73,TOLIMA,1,IBAGUÉ
