,MUNICIPIO_NACIMIENTO,MUNICIPIO_RESIDENCIA
656,VALLEDUPAR,LA PAZ
657,VALLEDUPAR,
658,VALLEDUPAR,
659,CHIRIGUANÁ,PAILITAS
660,VALLEDUPAR,
661,VALLEDUPAR,
662,VALLEDUPAR,
663,VALLEDUPAR,
664,VALLEDUPAR,
665,VALLEDUPAR,VALLEDUPAR
666,VALLEDUPAR,VALLEDUPAR
667,EL PASO,EL PASO
668,VALLEDUPAR,VALLEDUPAR
669,SAN DIEGO,
670,FUNDACIÓN,VALLEDUPAR
671,LA PAZ,LA PAZ
672,AMALFI,
673,CHIMICHAGUA,CHIMICHAGUA
674,AGUSTÍN CODAZZI,LA PAZ
675,LA PAZ,
676,MONTERÍA,
677,VALLEDUPAR,VALLEDUPAR
678,SAN DIEGO,
679,LA PAZ,
680,MONTERÍA,
681,ARIGUANÍ,
682,CIUDAD EXTRANJERO,
683,VALLEDUPAR,
684,VALLEDUPAR,
685,VALLEDUPAR,
686,ARIGUANÍ,
687,VALLEDUPAR,VALLEDUPAR
688,PINILLOS,
689,EL COPEY,
690,VALLEDUPAR,
691,VALLEDUPAR,
692,VALLEDUPAR,
693,VALLEDUPAR,
694,VALLEDUPAR,
695,RIOHACHA,
696,VALLEDUPAR,
697,BARRANQUILLA,
698,LA PAZ,
699,LA PAZ,LA PAZ
700,LA PAZ,
701,VALLEDUPAR,
702,BECERRIL,
703,VALLEDUPAR,
704,VALLEDUPAR,VALLEDUPAR
705,SANTA MARTA,
706,VALLEDUPAR,
707,VALLEDUPAR,VALLEDUPAR
708,LA PAZ,
709,VALLEDUPAR,
710,LA PAZ,
711,MANAURE,VALLEDUPAR
712,VALLEDUPAR,
713,VALLEDUPAR,
714,VALLEDUPAR,
715,VALLEDUPAR,
716,VALLEDUPAR,
717,PUEBLO BELLO,
718,MANAURE BALCÓN DEL CESAR,
719,VALLEDUPAR,
720,SAN DIEGO,
721,VALLEDUPAR,
722,VALLEDUPAR,
723,VALLEDUPAR,
724,VALLEDUPAR,
725,VALLEDUPAR,VALLEDUPAR
726,VALLEDUPAR,VALLEDUPAR
727,PUEBLO BELLO,
728,SAN DIEGO,SAN DIEGO
729,SAN DIEGO,
730,AGUSTÍN CODAZZI,
731,LA PAZ,
732,VALLEDUPAR,
733,CALI,VALLEDUPAR
734,VALLEDUPAR,
735,VALLEDUPAR,VALLEDUPAR
736,LA PAZ,
737,VALLEDUPAR,
738,BARRANCO DE LOBA,
739,VALLEDUPAR,
740,VALLEDUPAR,
741,VALLEDUPAR,
742,VALLEDUPAR,VALLEDUPAR
743,VALLEDUPAR,
744,LA PAZ,LA PAZ
745,MANAURE BALCÓN DEL CESAR,
746,MANAURE BALCÓN DEL CESAR,
747,MONTERÍA,
748,SAN DIEGO,SAN DIEGO
749,LA PAZ,
750,HATONUEVO,VALLEDUPAR
751,SAN DIEGO,
752,PUEBLO BELLO,
753,BOSCONIA,
754,VALLEDUPAR,
755,,VALLEDUPAR
756,BECERRIL,
757,LA PAZ,LA PAZ
758,"BOGOTÁ, D.C.",
759,LA PAZ,
760,VALLEDUPAR,VALLEDUPAR
761,VALLEDUPAR,VALLEDUPAR
762,VALLEDUPAR,
763,VALLEDUPAR,
764,SAN DIEGO,SAN DIEGO
765,SAN DIEGO,SAN DIEGO
766,VALLEDUPAR,
767,SAN DIEGO,
768,VALLEDUPAR,
769,SINCELEJO,
770,VALLEDUPAR,VALLEDUPAR
771,PLATO,
772,SAN DIEGO,
773,MANAURE,
774,VALLEDUPAR,
775,AGUSTÍN CODAZZI,
776,CIUDAD EXTRANJERO,
777,VALLEDUPAR,VALLEDUPAR
778,VALLEDUPAR,
779,VALLEDUPAR,AGUSTÍN CODAZZI
780,CHIMICHAGUA,
781,VALLEDUPAR,
782,"BOGOTÁ, D.C.",
783,VALLEDUPAR,
784,CURUMANÍ,
785,LA PAZ,
786,VALLEDUPAR,VALLEDUPAR
787,SAN DIEGO,
788,LA PAZ,
789,VALLEDUPAR,
790,CHÍA,
791,VALLEDUPAR,VALLEDUPAR
792,VALLEDUPAR,
793,CHIMICHAGUA,CHIMICHAGUA
794,SAN DIEGO,
795,VALLEDUPAR,
796,VALLEDUPAR,
797,VALLEDUPAR,
798,VALLEDUPAR,
799,LA PAZ,
800,LA PAZ,
801,VALLEDUPAR,
802,EL PASO,
803,AGUSTÍN CODAZZI,
804,VALLEDUPAR,
805,VALLEDUPAR,
806,SAN DIEGO,
807,VALLEDUPAR,
808,CARTAGENA DE INDIAS,
809,VALLEDUPAR,
810,CHIMICHAGUA,
811,"BOGOTÁ, D.C.",
812,SAN DIEGO,
813,MONTERÍA,
814,"BOGOTÁ, D.C.",
815,LA PAZ,
816,,
817,POPAYÁN,
818,VALLEDUPAR,
819,VALLEDUPAR,VALLEDUPAR
820,CHIMICHAGUA,VALLEDUPAR
821,VALLEDUPAR,
822,VALLEDUPAR,
823,VALLEDUPAR,
824,BARRANQUILLA,LA PAZ
825,VALLEDUPAR,
826,VALLEDUPAR,
827,VALLEDUPAR,VALLEDUPAR
828,VALLEDUPAR,VALLEDUPAR
829,EL RETÉN,
830,BUCARAMANGA,
831,VALLEDUPAR,VALLEDUPAR
832,VALLEDUPAR,VALLEDUPAR
833,LA PAZ,
834,LA PAZ,
835,VALLEDUPAR,VALLEDUPAR
836,PUEBLO BELLO,
837,SAN DIEGO,
838,LA PAZ,LA PAZ
839,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
840,PUEBLO BELLO,LA PAZ
841,AGUACHICA,VALLEDUPAR
842,VALLEDUPAR,EL PASO
843,VALLEDUPAR,VALLEDUPAR
844,VALLEDUPAR,
845,VALLEDUPAR,
846,VALLEDUPAR,
847,LA PAZ,
848,PUEBLO BELLO,PUEBLO BELLO
849,VALLEDUPAR,LA PAZ
850,ASTREA,
851,SANTA MARTA,
852,VALLEDUPAR,
853,LA PAZ,
854,CHIBOLO,VALLEDUPAR
855,RIOHACHA,
856,VALLEDUPAR,
857,VALLEDUPAR,VALLEDUPAR
858,BECERRIL,
859,CARTAGENA DE INDIAS,
860,VALLEDUPAR,
861,VALLEDUPAR,VALLEDUPAR
862,VALLEDUPAR,
863,VALLEDUPAR,
864,VALLEDUPAR,VALLEDUPAR
865,VALLEDUPAR,
866,"BOGOTÁ, D.C.",
867,VALLEDUPAR,
868,VALLEDUPAR,VALLEDUPAR
869,VALLEDUPAR,
870,VALLEDUPAR,
871,VALLEDUPAR,
872,LA PAZ,
873,VALLEDUPAR,
874,VALLEDUPAR,
875,VALLEDUPAR,
876,SAN JOSÉ DE CÚCUTA,
877,SAN JOSÉ DE CÚCUTA,
878,EL BANCO,VALLEDUPAR
879,VALLEDUPAR,
880,VALLEDUPAR,
881,VALLEDUPAR,
882,PINILLOS,
883,PAILITAS,AGUSTÍN CODAZZI
884,VALLEDUPAR,
885,ZAMBRANO,
886,VALLEDUPAR,VALLEDUPAR
887,FUNDACIÓN,VALLEDUPAR
888,RIOHACHA,VALLEDUPAR
889,URIBIA,
890,AGUACHICA,
891,EL PASO,
892,VALLEDUPAR,
893,AGUSTÍN CODAZZI,
894,VALLEDUPAR,
895,VALLEDUPAR,
896,VALLEDUPAR,
897,LA PAZ,
898,VALLEDUPAR,VALLEDUPAR
899,SAN DIEGO,
900,SAN DIEGO,
901,"BOGOTÁ, D.C.",VALLEDUPAR
902,SAN DIEGO,
903,CURUMANÍ,CHIMICHAGUA
904,VALLEDUPAR,VALLEDUPAR
905,VALLEDUPAR,VALLEDUPAR
906,VALLEDUPAR,
907,VALLEDUPAR,
908,SAN DIEGO,
909,AGUACHICA,
910,CHIMICHAGUA,
911,EL CARMEN DE BOLÍVAR,
912,VALLEDUPAR,
913,LA PAZ,
914,LA PAZ,
915,URUMITA,LA JAGUA DEL PILAR
916,VALLEDUPAR,
917,SANTA MARTA,
918,LA PAZ,LA PAZ
919,VALLEDUPAR,
920,VALLEDUPAR,VALLEDUPAR
921,MONTELÍBANO,
922,MANAURE BALCÓN DEL CESAR,
923,SAN DIEGO,
924,SAN DIEGO,SAN DIEGO
925,SAN PABLO,AGUSTÍN CODAZZI
926,"BOGOTÁ, D.C.",
927,VALLEDUPAR,
928,VALLEDUPAR,
929,VALLEDUPAR,
930,VALLEDUPAR,VALLEDUPAR
931,SAN DIEGO,
932,SAN DIEGO,
933,VALLEDUPAR,VALLEDUPAR
934,EL CARMEN DE BOLÍVAR,
935,LA PAZ,LA PAZ
936,VALLEDUPAR,VALLEDUPAR
937,BARRANQUILLA,LA PAZ
938,VALLEDUPAR,
939,VALLEDUPAR,
940,VALLEDUPAR,
941,VALLEDUPAR,
942,VALLEDUPAR,
943,VALLEDUPAR,
944,VALLEDUPAR,VALLEDUPAR
945,VALLEDUPAR,
946,VALLEDUPAR,
947,SAN DIEGO,
948,VALLEDUPAR,
949,VALLEDUPAR,
950,VALLEDUPAR,
951,VALLEDUPAR,
952,VALLEDUPAR,
953,VALLEDUPAR,
954,VALLEDUPAR,
955,AGUSTÍN CODAZZI,
956,VALLEDUPAR,
957,LA PAZ,
958,PAILITAS,
959,SAN DIEGO,
960,VALLEDUPAR,
961,VALLEDUPAR,VALLEDUPAR
962,VALLEDUPAR,
963,VALLEDUPAR,VALLEDUPAR
964,SAN DIEGO,
965,VALLEDUPAR,
966,SAN DIEGO,
967,BARRANQUILLA,
968,SAN DIEGO,
969,VALLEDUPAR,
970,VALLEDUPAR,
971,SAN DIEGO,
972,SAN DIEGO,
973,VALLEDUPAR,
974,PLATO,
975,PUEBLO BELLO,PUEBLO BELLO
976,CHIMICHAGUA,
977,LA PAZ,
978,VALLEDUPAR,AGUSTÍN CODAZZI
979,VALLEDUPAR,
980,VALLEDUPAR,VALLEDUPAR
981,VALLEDUPAR,
982,EL BANCO,
983,FLORIDABLANCA,
984,"BOGOTÁ, D.C.",VALLEDUPAR
985,"BOGOTÁ, D.C.",
986,VALLEDUPAR,
987,SANTA CRUZ DE MOMPOX,
988,VALLEDUPAR,
989,VALLEDUPAR,VALLEDUPAR
990,"BOGOTÁ, D.C.",LA PAZ
991,ASTREA,EL PASO
992,VALLEDUPAR,
993,VALLEDUPAR,VALLEDUPAR
994,VALLEDUPAR,
995,VALLEDUPAR,
996,VALLEDUPAR,
997,LA PAZ,
998,VALLEDUPAR,
999,VALLEDUPAR,VALLEDUPAR
1000,VALLEDUPAR,VALLEDUPAR
1001,VALLEDUPAR,
1002,VALLEDUPAR,VALLEDUPAR
1003,VALLEDUPAR,
1004,VALLEDUPAR,VALLEDUPAR
1005,BECERRIL,
1006,VALLEDUPAR,
1007,VALLEDUPAR,VALLEDUPAR
1008,VALLEDUPAR,SAN DIEGO
1009,RIOHACHA,
1010,VALLEDUPAR,
1011,LA PAZ,
1012,VALLEDUPAR,VALLEDUPAR
1013,VALLEDUPAR,VALLEDUPAR
1014,LA PAZ,
1015,PIJIÑO DEL CARMEN,
1016,BARRANQUILLA,
1017,VALLEDUPAR,
1018,VALLEDUPAR,
1019,MANAURE BALCÓN DEL CESAR,
1020,MANAURE BALCÓN DEL CESAR,
1021,LA PAZ,
1022,VALLEDUPAR,
1023,VALLEDUPAR,
1024,VALLEDUPAR,VALLEDUPAR
1025,VALLEDUPAR,VALLEDUPAR
1026,CURUMANÍ,VALLEDUPAR
1027,VALLEDUPAR,VALLEDUPAR
1028,VALLEDUPAR,VALLEDUPAR
1029,AGUACHICA,VALLEDUPAR
1030,VALLEDUPAR,VALLEDUPAR
1031,LA PAZ,LA PAZ
1032,URUMITA,VALLEDUPAR
1033,SAN JUAN DEL CESAR,VALLEDUPAR
1034,VALLEDUPAR,LA PAZ
1035,VALLEDUPAR,
1036,VALLEDUPAR,
1037,VALLEDUPAR,
1038,LA PAZ,
1039,LA PAZ,
1040,OCAÑA,LA PAZ
1041,CALI,
1042,VALLEDUPAR,
1043,VALLEDUPAR,VALLEDUPAR
1044,SAN DIEGO,
1045,VALLEDUPAR,VALLEDUPAR
1046,VALLEDUPAR,
1047,VALLEDUPAR,
1048,VALLEDUPAR,
1049,VALLEDUPAR,
1050,VALLEDUPAR,VALLEDUPAR
1051,FUNDACIÓN,
1052,AGUACHICA,SAN DIEGO
1053,VALLEDUPAR,VALLEDUPAR
1054,VALLEDUPAR,
1055,VALLEDUPAR,
1056,VALLEDUPAR,VALLEDUPAR
1057,LA PAZ,LA PAZ
1058,VALLEDUPAR,VALLEDUPAR
1059,VALLEDUPAR,
1060,SAN DIEGO,
1061,VALLEDUPAR,MAICAO
1062,SAN DIEGO,
1063,VALLEDUPAR,
1064,VALLEDUPAR,
1065,CHIMICHAGUA,LA PAZ
1066,SAN DIEGO,
1067,LA PAZ,
1068,SAN DIEGO,
1069,VALLEDUPAR,
1070,VALLEDUPAR,
1071,SANTA ROSA DEL SUR,
1072,SAN DIEGO,
1073,MANAURE BALCÓN DEL CESAR,MANAURE BALCÓN DEL CESAR
1074,VALLEDUPAR,
1075,VALLEDUPAR,
1076,VALLEDUPAR,
1077,URUMITA,
1078,SAN JUAN DEL CESAR,
1079,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
1080,MANAURE BALCÓN DEL CESAR,
1081,VALLEDUPAR,
1082,AGUSTÍN CODAZZI,
1083,LA PAZ,
1084,LA PAZ,LA PAZ
1085,PIVIJAY,
1086,VALLEDUPAR,
1087,VILLANUEVA,
1088,VALLEDUPAR,VALLEDUPAR
1089,VALLEDUPAR,
1090,MANAURE BALCÓN DEL CESAR,
1091,FLORIDABLANCA,SAN DIEGO
1092,SAN PABLO,AGUSTÍN CODAZZI
1093,SAN DIEGO,
1094,VALLEDUPAR,VALLEDUPAR
1095,VALLEDUPAR,
1096,VALLEDUPAR,
1097,VALLEDUPAR,
1098,VALLEDUPAR,
1099,BECERRIL,
1100,LA PAZ,
1101,VALLEDUPAR,
1102,ASTREA,
1103,PUEBLO BELLO,
1104,AGUSTÍN CODAZZI,
1105,CIUDAD EXTRANJERO,
1106,MANAURE BALCÓN DEL CESAR,
1107,VALLEDUPAR,
1108,VALLEDUPAR,
1109,VALLEDUPAR,
1110,VALLEDUPAR,
1111,VALLEDUPAR,
1112,VALLEDUPAR,
1113,VALLEDUPAR,VALLEDUPAR
1114,VALLEDUPAR,
1115,CARTAGENA DE INDIAS,
1116,VALLEDUPAR,
1117,VALLEDUPAR,
1118,SAN DIEGO,SAN DIEGO
1119,VALLEDUPAR,
1120,VALLEDUPAR,
1121,AGUSTÍN CODAZZI,
1122,VALLEDUPAR,VALLEDUPAR
1123,VALLEDUPAR,LA PAZ
1124,LA PAZ,
1125,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
1126,VALLEDUPAR,VALLEDUPAR
1127,VALLEDUPAR,
1128,SAN DIEGO,SAN DIEGO
1129,VALLEDUPAR,
1130,SAN JOSÉ DE CÚCUTA,OCAÑA
1131,BARRANQUILLA,
1132,SAN DIEGO,
1133,LA PAZ,
1134,SABANALARGA,
1135,MAICAO,
1136,CHIMICHAGUA,
1137,TAMALAMEQUE,
1138,VALLEDUPAR,
1139,VALLEDUPAR,
1140,AGUSTÍN CODAZZI,
1141,VALLEDUPAR,
1142,VALLEDUPAR,
1143,AGUSTÍN CODAZZI,
1144,PLATO,
1145,ARIGUANÍ,
1146,ASTREA,
1147,LA PAZ,
1148,VALLEDUPAR,
1149,CIUDAD EXTRANJERO,
1150,LA PAZ,
1151,VALLEDUPAR,
1152,BUCARAMANGA,
1153,VALLEDUPAR,
1154,LA PAZ,
1155,VALLEDUPAR,
1156,VALLEDUPAR,
1157,VALLEDUPAR,
1158,VALLEDUPAR,
1159,AGUSTÍN CODAZZI,
1160,VALLEDUPAR,
1161,VALLEDUPAR,VALLEDUPAR
1162,VALLEDUPAR,
1163,VALLEDUPAR,
1164,VALLEDUPAR,VALLEDUPAR
1165,SAN DIEGO,SAN DIEGO
1166,BECERRIL,BECERRIL
1167,VALLEDUPAR,
1168,VALLEDUPAR,
1169,VALLEDUPAR,VALLEDUPAR
1170,SAN ONOFRE,
1171,VALLEDUPAR,VALLEDUPAR
1172,AGUACHICA,VALLEDUPAR
1173,EL PASO,LA PAZ
1174,LA PAZ,LA PAZ
1175,LA PAZ,LA PAZ
1176,VALLEDUPAR,VALLEDUPAR
1177,ASTREA,LA PAZ
1178,SAN DIEGO,SAN DIEGO
1179,VALLEDUPAR,SAN DIEGO
1180,LA PAZ,LA PAZ
1181,LA PAZ,LA PAZ
1182,VALLEDUPAR,SAN DIEGO
1183,BOSCONIA,
1184,PLATO,
1185,VALLEDUPAR,VALLEDUPAR
1186,CARTAGENA DE INDIAS,
1187,VALLEDUPAR,
1188,VALLEDUPAR,VALLEDUPAR
1189,VALLEDUPAR,VALLEDUPAR
1190,VALLEDUPAR,VALLEDUPAR
1191,PUEBLO BELLO,
1192,VALLEDUPAR,VALLEDUPAR
1193,VALLEDUPAR,
1194,LA PAZ,
1195,LA PAZ,
1196,LA PAZ,
1197,PLATO,CHIBOLO
1198,VALLEDUPAR,
1199,VALLEDUPAR,VALLEDUPAR
1200,VALLEDUPAR,
1201,VALLEDUPAR,
1202,AGUSTÍN CODAZZI,
1203,VALLEDUPAR,VALLEDUPAR
1204,VALLEDUPAR,VALLEDUPAR
1205,VALLEDUPAR,VALLEDUPAR
1206,LA PAZ,
1207,BUCARAMANGA,VALLEDUPAR
1208,SABANALARGA,
1209,SAN DIEGO,
1210,SAN DIEGO,
1211,SAN DIEGO,
1212,BECERRIL,
1213,PUEBLO BELLO,PUEBLO BELLO
1214,EL COPEY,
1215,VALLEDUPAR,
1216,VALLEDUPAR,
1217,VALLEDUPAR,
1218,VALLEDUPAR,
1219,COCORNÁ,LA PAZ
1220,OCAÑA,
1221,CHIMICHAGUA,VALLEDUPAR
1222,MANAURE BALCÓN DEL CESAR,
1223,VALLEDUPAR,
1224,LA PAZ,
1225,LA PAZ,
1226,LA PAZ,
1227,SANTA MARTA,
1228,ASTREA,
1229,VALLEDUPAR,
1230,LA JAGUA DE IBIRICO,
1231,VALLEDUPAR,
1232,VALLEDUPAR,
1233,VALLEDUPAR,
1234,VALLEDUPAR,
1235,VALLEDUPAR,
1236,VALLEDUPAR,
1237,VALLEDUPAR,
1238,VALLEDUPAR,VALLEDUPAR
1239,LA PAZ,
1240,LA PAZ,LA PAZ
1241,ASTREA,
1242,LA PAZ,
1243,"BOGOTÁ, D.C.",AGUSTÍN CODAZZI
1244,VALLEDUPAR,VALLEDUPAR
1245,AGUSTÍN CODAZZI,
1246,AGUSTÍN CODAZZI,
1247,VALLEDUPAR,
1248,MANAURE BALCÓN DEL CESAR,
1249,VALLEDUPAR,LA PAZ
1250,LA PAZ,
1251,MAICAO,MAICAO
1252,BARRANCAS,
1253,VALLEDUPAR,
1254,VALLEDUPAR,LA PAZ
1255,VALLEDUPAR,VALLEDUPAR
1256,VALLEDUPAR,
1257,VALLEDUPAR,
1258,VALLEDUPAR,
1259,SAN JOSÉ DE CÚCUTA,
1260,URUMITA,URUMITA
1261,SAN JUAN DEL CESAR,SAN JUAN DEL CESAR
1262,LA PAZ,VALLEDUPAR
1263,SAN MARTÍN,
1264,VALLEDUPAR,VALLEDUPAR
1265,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
1266,VALLEDUPAR,VALLEDUPAR
1267,AGUSTÍN CODAZZI,
1268,"BOGOTÁ, D.C.",
1269,VALLEDUPAR,VALLEDUPAR
1270,VALLEDUPAR,VALLEDUPAR
1271,LA PAZ,
1272,VALLEDUPAR,VALLEDUPAR
1273,CHIRIGUANÁ,
1274,VALLEDUPAR,
1275,VALLEDUPAR,LA PAZ
1276,EL PASO,
1277,VALLEDUPAR,
1278,VALLEDUPAR,VALLEDUPAR
1279,VALLEDUPAR,VALLEDUPAR
1280,AGUSTÍN CODAZZI,
1281,SAN JUAN DEL CESAR,
1282,CIUDAD EXTRANJERO,
1283,CICUCO,
1284,SAN DIEGO,
1285,SAN DIEGO,
1286,SAN DIEGO,
1287,VALLEDUPAR,VALLEDUPAR
1288,TUNJA,
1289,VALLEDUPAR,
1290,SAN DIEGO,
1291,"BOGOTÁ, D.C.",
1292,EL BANCO,
1293,VALLEDUPAR,
1294,SAN DIEGO,SAN DIEGO
1295,RIOHACHA,VALLEDUPAR
1296,CHIMICHAGUA,
1297,BOSCONIA,VALLEDUPAR
1298,VALLEDUPAR,
1299,VALLEDUPAR,VALLEDUPAR
1300,EL BANCO,
1301,VALLEDUPAR,
1302,VALLEDUPAR,
1303,SAN DIEGO,
1304,VALLEDUPAR,
1305,AGUSTÍN CODAZZI,
1306,VALLEDUPAR,
1307,SAN DIEGO,
1308,LA PAZ,
1309,CARTAGENA DE INDIAS,
1310,SAN DIEGO,
1311,IBAGUÉ,
1312,VALLEDUPAR,
1313,VALLEDUPAR,
1314,VALLEDUPAR,
1315,BOSCONIA,
1316,VALLEDUPAR,
1317,VALLEDUPAR,
1318,VALLEDUPAR,
1319,SAN DIEGO,
1320,VALLEDUPAR,
